original values				detectEVE	original values											detectEVE values												
Contig	name	Host_species	Location	locus	Orientation	Best_viral_match	NR evalue	PFAM evalue	region	element																		
ABRQ01638802	n.s.	(Procavia capensis)	2207-2653	ABRQ01638802.1_2240-2671:-	-	AY374520	2.00E-22	2.00E-28	681-1127	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABRQ01_EVE067	high	62	viral (2), maybe-viral (1)	VDB (2), uncharacterized protein (1)	7.67E-90	94.4	Uncharacterized protein LOC111819001 isoform X1 n=18 Tax=Afrotheria  RepID=A0A2Y9QAH2_TRIMA	N [Southwest carpet python virus] acc=YP_009508485.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Carbovirus;s__Carbovirus tapeti	Negarnaviricota		
ABRQ01717982	n.s.	Cape hyrax	748-1863	ABRQ01717982.1_763-1740:-	-	AY374520	9.00E-25	7.90E-32	477-1127	EBLN-6 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	ABRQ01_EVE150	low	20	maybe-viral (1)	uncharacterized protein (1)	3.78E-224	94.5	Uncharacterized protein LOC111819001 isoform X1 n=18 Tax=Afrotheria  RepID=A0A2Y9QAH2_TRIMA	NA	NA	Chordata		
ABXC01001628	SbPCL8	Sorghum bicolor	27853-28723	ABXC01001628.1_27795-28567:-	n.s.	n.s.	1.00E-40	n.s.	n.s.	PA	NA	rose cryptic virus RoCV,	NA	NA	NA	ABXC01_EVE001	high	88	viral (13), maybe-viral (1), non-viral (1)	VDB (6), UDB Viruses (5), coat (2), annotated protein of Eukaryota (1), uncharacterized protein (1)	2.55E-97	56.6	putative CP [Alloteropsis cryptic virus 2] acc=QRG29180.1	putative CP [Alloteropsis cryptic virus 2] acc=QRG29180.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Alloteropsis cryptic virus 2	Pisuviricota		
ACBE01511791	n.s.	(Felis cattus)	1129-1325	ACBE01511791.1_1165-1444:+	+	DQ915960	8.00E-10	No match	644-832	EVE-CV1	ssDNA	Circovirus	NA	NA	NA	ACBE01_EVE060	high	100	viral (20)	VDB (15), UDB Viruses (5)	1.78E-16	47.9	replication-associated protein [Pigeon circovirus] acc=WMZ16720.1	replication-associated protein [Pigeon circovirus] acc=WMZ16720.1	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Arfiviricetes;o__Cirlivirales;f__Circoviridae;g__Circovirus;s__Circovirus pigeon	Cressdnaviricota		
ACBE01536005	n.s.	Cat	794-1486	ACBE01536005.1_794-1465:+	+	AF311299	3.00E-11	0.0003 a	275-826	NA	ssDNA	Circovirus	NA	NA	NA	ACBE01_EVE066	high	100	viral (20)	VDB (18), UDB Viruses (2)	1.69E-32	42.5	putative rep [European bee-eater circovirus] acc=UMM62403.1	putative rep [European bee-eater circovirus] acc=UMM62403.1	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Arfiviricetes;o__Cirlivirales;f__Circoviridae;g__Circovirus;s__European bee-eater circovirus	Cressdnaviricota		
ACHR01010215	CsRNLS1	Cucumis sativus	16588–18054	ACHR01010215.1_16818-18012:+	n.s.	n.s.	1.00E-05	n.s.	n.s.	GP, SQ, PA	NA	lettuce big-vein associated virus LBVaV	NA	NA	NA	ACHR01_EVE050	high	61	viral (2), maybe-viral (1)	UDB Viruses (2), uncharacterized protein (1)	4.22E-194	74.3	Uncharacterized protein n=1 Tax=Cucumis sativus  RepID=A0A0A0LR10_CUCSA	Nucleoprotein n=1 Tax=Luffa virus 1  RepID=A0A9N6YJF6_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Luffa virus 1	Negarnaviricota		
ACYM01114737	MdRNLS1-2	Malus x domestica	2849–3310	ACYM01114737.1_2876-3412:-	n.s.	n.s.	7.00E-16	n.s.	n.s.	GP, SQ	NA	lettuce big-vein associated virus LBVaV	NA	NA	NA	ACYM01_EVE781	low	11	maybe-viral (1), non-viral (1)	annotated protein of Eukaryota (1), uncharacterized protein (1)	2.57E-122	99.4	Uncharacterized protein n=1 Tax=Malus domestica  RepID=A0A498JZF9_MALDO	NA	NA	Streptophyta		
ACYX01071982	PdPCL8	Phoenix dactylifera	560-268; 790-1379	ACYX01071982.1_691-1363:+	n.s.	n.s.	2.00E-24	n.s.	n.s.	NA	NA	rose cryptic virus RoCV,	NA	NA	NA	ACYX01_EVE002	high	91	viral (19), maybe-viral (1), non-viral (1)	VDB (9), UDB Viruses (8), coat (2), annotated protein of Eukaryota (1), uncharacterized protein (1)	8.29E-61	50	Coat protein 2 n=1 Tax=Allium deltapartitivirus  RepID=A0AAE9P757_9VIRU	Coat protein 2 n=1 Tax=Allium deltapartitivirus  RepID=A0AAE9P757_9VIRU	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__Deltapartitivirus;s__Allium deltapartitivirus	Pisuviricota		
CABD02009223	n.s.	(Gorilla gorilla)	226-311	CABD02009223.1_226-617:-	-	AF136236	3.00E-08	8.50E-20	2305-2613	EBLN-5 (GP)	negative sense RNA	Bornavirus	NA	NA	NA	CABD02_EVE005	high	100	viral (13)	VDB (10), UDB Viruses (3)	8.03E-21	41	Glycoprotein [Variegated squirrel bornavirus 1] acc=CEK41891.1	Glycoprotein [Variegated squirrel bornavirus 1] acc=CEK41891.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus sciuri	Negarnaviricota		
CABD02038126	n.s.	Gorilla	6170-7273	CABD02038126.1_6176-7267:-	-	FJ169441	3.00E-70	1.60E-79	135-1166	EBLN-1 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	CABD02_EVE006	high	100	viral (7)	endogenous (6), VDB (1)	9.15E-253	96.2	Endogenous Bornavirus-like nucleoprotein 1 n=21 Tax=Simiiformes  RepID=EBLN1_HUMAN	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1	NA	Chordata		
CABD02145130	n.s.	(Gorilla gorilla)	344-1421	CABD02145130.1_344-1412:+	+	FJ169440	2.00E-51	1.30E-49	93-1157	EBLN-4 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	CABD02_EVE039	high	94	viral (12), non-viral (1)	VDB (7), endogenous (5), annotated protein of unclassified root superkingdom (1)	3.69E-115	57.4	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1	p40 [Variegated squirrel bornavirus 1] acc=CEK41887.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus sciuri	Chordata		
CABD02246393	n.s.	(Gorilla gorilla)	3733-4740	CABD02246393.1_3733-4612:+	+	FJ169440	1.00E-52	7.70E-46	135-1046	EBLN-2 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	CABD02_EVE042	high	87	viral (12), non-viral (2)	endogenous (7), VDB (5), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1)	3.98E-148	75.4	LOW QUALITY PROTEIN: endogenous Bornavirus-like nucleoprotein 1 n=9 Tax=Simiiformes  RepID=UPI00045E0A4B	p40 [Variegated squirrel bornavirus 1] acc=CEK41887.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus sciuri	Chordata		
CABD02377713	n.s.	(Gorilla gorilla)	5487-6564	CABD02377713.1_5559-6561:+	+	AY374519	2.00E-51	2.90E-48	96-1046	EBLN-3 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	CABD02_EVE044	high	85	viral (12), maybe-viral (2), non-viral (1)	VDB (7), endogenous (5), uncharacterized protein (2), annotated protein of unclassified root superkingdom (1)	1.03E-121	54.9	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1	nucleoprotein [Mexican black-tailed rattlesnake bornavirus] acc=YP_010798895.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus caenophidiae	Chordata		
CACC01021584	TcRNLS1	Theobroma cacao	28267-27932	CACC01021584.1_27552-28568:-	n.s.	n.s.	1.00E-03	n.s.	n.s.	NA	NA	lettuce big-vein associated virus LBVaV	NA	NA	NA	CACC01_EVE007	high	61	viral (9), maybe-viral (6), non-viral (1)	UDB Viruses (8), uncharacterized protein (6), annotated protein of Eukaryota (1), VDB (1)	1.90E-74	98.3	Uncharacterized protein n=1 Tax=Theobroma cacao  RepID=A0A061G034_THECC	Nucleoprotein n=1 Tax=Asclepias syriaca virus 3  RepID=A0A9N6YJ12_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Asclepias syriaca virus 3	Negarnaviricota		
CACM01001944	EpMLLS2	Erysiphe pisi	232–923	CACM01001944.1_36-813:+	n.s.	n.s.	5.00E-46	1.00E-38	n.s.	RdRp	NA	Maize Iranian mosaic virus	Nucleorhabdovirus	180/706 (25%)	(polymerase, 1926 aa)	CACM01_EVE033	high	47	maybe-viral (3), viral (2)	uncharacterized protein (3), UDB Viruses (1), VDB (1)	6.52E-98	65.7	Uncharacterized protein n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420I2D8_9PEZI	hypothetical protein [H2BulkLitter1223 virus] acc=QDH88668.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__Hubramonavirus terrae	Ascomycota		
CACM01001944	EpMLLS2	Erysiphe pisi	232–923	CACM01001944.1_998-3690:+	n.s.	n.s.	5.00E-46	1.00E-38	n.s.	RdRp	NA	Maize Iranian mosaic virus	Nucleorhabdovirus	180/706 (25%)	(polymerase, 1926 aa)	CACM01_EVE027	high	60	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	0	64.1	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase L n=2 Tax=Hubramonavirus  RepID=A0A1L3KMM2_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__unclassified Hubramonavirus species	Negarnaviricota		
CACM01002113	EpMLLS7	Erysiphe pisi	757–1239	CACM01002113.1_849-2847:-	n.s.	n.s.	8.00E-14	7.00E-23	n.s.	RdRp	NA	Nyamanini virus	Nyavirus	106/502 (21%)	(L protein, 1936 aa)	CACM01_EVE031	high	50	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	5.74E-227	59.2	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase L n=2 Tax=Hubramonavirus  RepID=A0A1L3KMM2_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__unclassified Hubramonavirus species	Negarnaviricota		
CACM01004509	EpMLLS1	Erysiphe pisi	156–747	CACM01004509.1_2-2149:-	n.s.	n.s.	3.00E-47	5.00E-43	n.s.	RdRp	NA	Midway virus	Nyavirus	162/614 (26%)	(L protein, 1935 aa)	CACM01_EVE023	high	67	viral (4), non-viral (1)	UDB Viruses (2), VDB (2), annotated protein of Eukaryota (1)	0	68.4	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase n=2 Tax=Negarnaviricota  RepID=A0A6B9Q463_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__unclassified Negarnaviricota class;o__unclassified Negarnaviricota order;f__unclassified Negarnaviricota family;g__unclassified Negarnaviricota genus;s__unclassified Negarnaviricota species	Negarnaviricota		
CACM01010605	EpMLLS3	Erysiphe pisi	311–765	CACM01010605.1_17-957:+	n.s.	n.s.	1.00E-44	4.00E-34	n.s.	RdRp	NA	Nyamanini virus	Nyavirus	137/472 (27%)	(L protein, 1936 aa)	CACM01_EVE019	high	87	viral (20), non-viral (2)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (2)	5.56E-157	73.7	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-dependent RNA polymerase [Erysiphe necator associated negative-stranded RNA virus 23] acc=QJW70355.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Plasmopamonavirus;s__Plasmopamonavirus erysiphe	Negarnaviricota		
CACM01010847	EpMLLS8	Erysiphe pisi	339–595	CACM01010847.1_1022-1863:-	n.s.	n.s.	7.00E-19	4.00E-20	n.s.	RdRp	NA	Rice yellow stunt virus	Nucleorhabdovirus	75/261 (29%)	(L protein, 1964 aa)	CACM01_EVE003	high	100	viral (18)	VDB (15), UDB Viruses (3)	8.86E-140	77.4	RNA dependent RNA polymerase [Plasmopara viticola lesion associated mononegaambi virus 3] acc=QHD64773.1	RNA dependent RNA polymerase [Plasmopara viticola lesion associated mononegaambi virus 3] acc=QHD64773.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Penicillimonavirus;s__Penicillimonavirus gammaplasmopara	Negarnaviricota		
CACM01010856	EpMLLS4	Erysiphe pisi	461–603	CACM01010856.1_309-808:-	n.s.	n.s.	5.00E-18	2.00E-14	n.s.	RdRp	NA	Nyamanini virus	Nyavirus	44/143 (31%)	(L protein, 1936 aa)	CACM01_EVE018	high	88	viral (18), non-viral (2)	VDB (13), UDB Viruses (5), annotated protein of Eukaryota (2)	1.76E-66	70.9	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-dependent RNA polymerase [Penicillium glabrum negative-stranded RNA virus 1] acc=QDB75014.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Penicillimonavirus;s__Penicillimonavirus betapenicillii	Negarnaviricota		
CACM01010856	EpMLLS4	Erysiphe pisi	461–603	CACM01010856.1_23-344:-	n.s.	n.s.	5.00E-18	2.00E-14	n.s.	RdRp	NA	Nyamanini virus	Nyavirus	44/143 (31%)	(L protein, 1936 aa)	CACM01_EVE025	high	62	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	3.64E-30	59.3	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase L n=2 Tax=Hubramonavirus  RepID=A0A1L3KMM2_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__unclassified Hubramonavirus species	Negarnaviricota		
CACM01011574	EpMLLS5	Erysiphe pisi	772–865	CACM01011574.1_1058-1311:-	n.s.	n.s.	3.00E-04	-	n.s.	-	NA	Nipah virus	Henipavirus	27/ 97 (28%)	(L protein, 2244 aa)	CACM01_EVE024	high	66	viral (9), non-viral (2), maybe-viral (1)	VDB (7), annotated protein of Eukaryota (2), UDB Viruses (2), uncharacterized protein (1)	2.80E-23	60	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-dependent RNA polymerase [Erysiphe necator associated negative-stranded RNA virus 23] acc=QJW70355.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Plasmopamonavirus;s__Plasmopamonavirus erysiphe	Negarnaviricota		
CACM01011574	EpMLLS5	Erysiphe pisi	772–865	CACM01011574.1_651-1118:-	n.s.	n.s.	3.00E-04	-	n.s.	-	NA	Nipah virus	Henipavirus	27/ 97 (28%)	(L protein, 2244 aa)	CACM01_EVE022	high	81	viral (20), non-viral (3), maybe-viral (1)	VDB (13), UDB Viruses (7), annotated protein of Eukaryota (3), uncharacterized protein (1)	7.22E-19	62.9	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-dependent RNA polymerase [Erysiphe necator associated negative-stranded RNA virus 23] acc=QJW70355.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Plasmopamonavirus;s__Plasmopamonavirus erysiphe	Negarnaviricota		
CACN01000121	EpMLLS2	Erysiphe pisi	232–923	CACN01000121.1_132-2824:-	n.s.	n.s.	5.00E-46	1.00E-38	n.s.	RdRp	NA	Maize Iranian mosaic virus	Nucleorhabdovirus	180/706 (25%)	(polymerase, 1926 aa)	CACN01_EVE027	high	60	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	0	64.1	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase L n=2 Tax=Hubramonavirus  RepID=A0A1L3KMM2_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__unclassified Hubramonavirus species	Negarnaviricota		
CACN01000121	EpMLLS2	Erysiphe pisi	232–923	CACN01000121.1_3009-4145:-	n.s.	n.s.	5.00E-46	1.00E-38	n.s.	RdRp	NA	Maize Iranian mosaic virus	Nucleorhabdovirus	180/706 (25%)	(polymerase, 1926 aa)	CACN01_EVE046	low	20	maybe-viral (2)	uncharacterized protein (2)	1.76E-147	60.3	Uncharacterized protein n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420I2D8_9PEZI	NA	NA	Ascomycota		
CACN01000597	EpMLLS8	Erysiphe pisi	339–595	CACN01000597.1_3364-4205:+	n.s.	n.s.	7.00E-19	4.00E-20	n.s.	RdRp	NA	Rice yellow stunt virus	Nucleorhabdovirus	75/261 (29%)	(L protein, 1964 aa)	CACN01_EVE018	high	100	viral (18)	VDB (15), UDB Viruses (3)	8.86E-140	77.4	RNA dependent RNA polymerase [Plasmopara viticola lesion associated mononegaambi virus 3] acc=QHD64773.1	RNA dependent RNA polymerase [Plasmopara viticola lesion associated mononegaambi virus 3] acc=QHD64773.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Penicillimonavirus;s__Penicillimonavirus gammaplasmopara	Negarnaviricota		
CACN01002620	EpMLLS3	Erysiphe pisi	311–765	CACN01002620.1_264-2464:-	n.s.	n.s.	1.00E-44	4.00E-34	n.s.	RdRp	NA	Nyamanini virus	Nyavirus	137/472 (27%)	(L protein, 1936 aa)	CACN01_EVE024	high	67	viral (4), non-viral (1)	UDB Viruses (2), VDB (2), annotated protein of Eukaryota (1)	0	65.4	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase L n=2 Tax=Hubramonavirus  RepID=A0A1L3KMM2_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__unclassified Hubramonavirus species	Negarnaviricota		
CACN01003663	EpMLLS4	Erysiphe pisi	461–603	CACN01003663.1_1675-2174:-	n.s.	n.s.	5.00E-18	2.00E-14	n.s.	RdRp	NA	Nyamanini virus	Nyavirus	44/143 (31%)	(L protein, 1936 aa)	CACN01_EVE019	high	88	viral (18), non-viral (2)	VDB (13), UDB Viruses (5), annotated protein of Eukaryota (2)	1.76E-66	70.9	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-dependent RNA polymerase [Penicillium glabrum negative-stranded RNA virus 1] acc=QDB75014.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Penicillimonavirus;s__Penicillimonavirus betapenicillii	Negarnaviricota		
CACN01003663	EpMLLS4	Erysiphe pisi	461–603	CACN01003663.1_1365-1710:-	n.s.	n.s.	5.00E-18	2.00E-14	n.s.	RdRp	NA	Nyamanini virus	Nyavirus	44/143 (31%)	(L protein, 1936 aa)	CACN01_EVE025	high	62	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	3.66E-30	56.2	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase L n=2 Tax=Hubramonavirus  RepID=A0A1L3KMM2_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__unclassified Hubramonavirus species	Negarnaviricota		
CACN01005308	EpMLLS5	Erysiphe pisi	772–865	CACN01005308.1_2687-3154:-	n.s.	n.s.	3.00E-04	-	n.s.	-	NA	Nipah virus	Henipavirus	27/ 97 (28%)	(L protein, 2244 aa)	CACN01_EVE022	high	81	viral (20), non-viral (3), maybe-viral (1)	VDB (13), UDB Viruses (7), annotated protein of Eukaryota (3), uncharacterized protein (1)	7.22E-19	62.9	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-dependent RNA polymerase [Erysiphe necator associated negative-stranded RNA virus 23] acc=QJW70355.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Plasmopamonavirus;s__Plasmopamonavirus erysiphe	Negarnaviricota		
CACN01008891	EpMLLS1	Erysiphe pisi	156–747	CACN01008891.1_6-2150:+	n.s.	n.s.	3.00E-47	5.00E-43	n.s.	RdRp	NA	Midway virus	Nyavirus	162/614 (26%)	(L protein, 1935 aa)	CACN01_EVE023	high	67	viral (4), non-viral (1)	UDB Viruses (2), VDB (2), annotated protein of Eukaryota (1)	0	68.5	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase n=2 Tax=Negarnaviricota  RepID=A0A6B9Q463_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__unclassified Negarnaviricota class;o__unclassified Negarnaviricota order;f__unclassified Negarnaviricota family;g__unclassified Negarnaviricota genus;s__unclassified Negarnaviricota species	Negarnaviricota		
CACN01008962	EpMLLS7	Erysiphe pisi	757–1239	CACN01008962.1_108-2132:-	n.s.	n.s.	8.00E-14	7.00E-23	n.s.	RdRp	NA	Nyamanini virus	Nyavirus	106/502 (21%)	(L protein, 1936 aa)	CACN01_EVE030	high	51	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	9.29E-232	59.4	RNA-directed RNA polymerase L n=1 Tax=Golovinomyces cichoracearum  RepID=A0A420HMS3_9PEZI	RNA-directed RNA polymerase L n=2 Tax=Hubramonavirus  RepID=A0A1L3KMM2_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__unclassified Hubramonavirus species	Negarnaviricota		
NC_009047	RDRP,CP3	Scheffersomyces stipitis CBS 6054	501112-505587	NC_009047.1_501115-505587:-	-	n.s.	n.s.	n.s.	n.s.	RdRp, CP	dsRNA	Totivirus				GCF_000209165.1_EVE004	high	87	viral (8), non-viral (1)	VDB (6), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	0.00E+00	42.3	gag-pol fusion protein [Saccharomyces cerevisiae virus L-A-lus] acc=AFQ55381.1	gag-pol fusion protein [Saccharomyces cerevisiae virus L-A-lus] acc=AFQ55381.1	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Saccharomyces cerevisiae virus L-A	Duplornaviricota		
NC_009047	CP4	Scheffersomyces stipitis CBS 6054	506568-508562	NC_009047.1_506586-508529:-	-	n.s.	n.s.	n.s.	n.s.	CP	dsRNA	Totivirus				GCF_000209165.1_EVE003	high	95	viral (17), non-viral (1)	VDB (7), UDB Viruses (5), coat (3), annotated protein of unclassified root superkingdom (1), capsid (1), virus (1)	1.44E-143	36.8	Capsid protein n=1 Tax=Tuber aestivum virus 1  RepID=E5KIN6_9VIRU	Capsid protein n=1 Tax=Tuber aestivum virus 1  RepID=E5KIN6_9VIRU	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Tuber aestivum virus 1	Duplornaviricota		
NC_009047	CP1	Scheffersomyces stipitis CBS 6054	495820-497544	NC_009047.1_495817-497400:+	+	n.s.	n.s.	n.s.	n.s.	CP	dsRNA	Totivirus				GCF_000209165.1_EVE001	high	100	viral (1)	viral (1)	0	99.2	Major viral coat protein n=1 Tax=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)  RepID=A3LZ28_PICST	NA	NA	Ascomycota		
NC_009047	CP2	Scheffersomyces stipitis CBS 6054	49835-500277	NC_009047.1_498375-500078:+	+	n.s.	n.s.	n.s.	n.s.	CP	dsRNA	Totivirus				GCF_000209165.1_EVE002	high	100	viral (1)	coat (1)	0	99.3	Major coat protein/ssRNA-binding protein-IMP dehydrogenase/GMP reductase (Fragment) n=2 Tax=Scheffersomyces stipitis  RepID=A3LZ29_PICST	NA	NA	Ascomycota		
idAnoDarlMG_H_01.Chr2	AdarOrbi1	Anopheles darlingi	55869527-55872085	NC_064874.1_55869737-55872070:+	#ERROR!	Bactrocera tryoni	1.00E-155	n.s.	2559/852	VP3 Core protein	dsRNA	Sedoreoviridae	Bactrocera dorsalis orbivirus	33.3 %	2559	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE001	high	100	viral (3)	VDB (2), UDB Viruses (1)	9.72E-161	33	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum		
idAnoDarlMG_H_01.Chr2	AdarChu6	Anopheles darlingi	56169282-56171267	NC_064874.1_56169309-56170454:+	#ERROR!	Odonata	1.00E-84	n.s.	1986/661	Envelope glycoprotein	ssRNA-	Chuviridae	Hubei chuvirus-like virus 1	28.6 %	1986	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE051	high	41	maybe-viral (7), viral (2)	uncharacterized protein (4), polyprotein protein (2), glycoprotein protein (1), UDB Viruses (1), VDB (1)	1.78E-215	72.8	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda		
